ProjectName,MethodIdentifier,ReleaseID,Bugginess,LOC,StatementsCount,CyclomaticComplexity,ParameterCount,NestingDepth,DecisionPoints,Feature7,Feature8,Feature9,Feature10
BOOKKEEPER,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/closeHandle(),release-4.0.0,yes,3,1,0,1,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/main(String[]),release-4.0.0,yes,20,5,1,14,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntryBatch(byte[], int)",release-4.0.0,yes,14,2,2,10,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntry(byte[], int)",release-4.0.0,yes,11,2,2,6,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/getFreshEntryId(int),release-4.0.0,yes,7,1,1,1,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/removeEntryId(Integer),release-4.0.0,yes,14,3,1,6,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/closeHandle(),release-4.0.0,yes,3,1,0,1,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/main(String[]),release-4.0.0,yes,39,8,1,20,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeSameEntryBatch(byte[], int)",release-4.0.0,yes,16,3,2,11,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeConsecutiveEntriesBatch(int),release-4.0.0,yes,25,3,1,13,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeSameEntryBatchFS(byte[], int)",release-4.0.0,yes,16,3,2,9,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/addComplete(int, LedgerHandle, long, Object)",release-4.0.0,yes,4,1,4,1,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/readComplete(int, LedgerHandle, Enumeration<LedgerEntry>, Object)",release-4.0.0,yes,11,2,4,6,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedgerId(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedger(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getEntry(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/accept(long),release-4.0.0,yes,8,2,1,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/run(),release-4.0.0,yes,68,11,0,20,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/shutdown(),release-4.0.0,yes,9,2,0,3,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/accept(long),release-4.0.0,yes,7,2,1,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/accept(long),release-4.0.0,yes,1,1,1,0,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/listJournalIds(File, JournalIdFilter)",release-4.0.0,yes,21,4,2,9,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/instantiateZookeeperClient(String),release-4.0.0,yes,10,2,1,3,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/registerBookie(int),release-4.0.0,yes,17,3,1,4,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/process(WatchedEvent),release-4.0.0,yes,25,6,1,13,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/newZookeeper(String, int)",release-4.0.0,yes,33,6,2,13,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/checkDirectoryLayoutVersion(File),release-4.0.0,yes,42,6,1,8,0,0,0,0,0,0
